RA,DEC,AGN,index
167.4237094561268,-10.983279973655474,True,221715
259.45069700000005,65.62406899999999,False,687052
125.168976,28.26799,True,707779
322.67809763386435,-1.2147141515627642,True,149701
249.122841,29.938038,False,683944
75.92523442091868,-31.9005177262534,True,197852
201.716219,12.865645,False,522914
3.6171097695955168,5.410115863038403,True,233568
126.4820211475983,-63.96056028687951,True,310185
13.989368,-0.278003,True,12739
34.360470168765,-3.8831169375457,True,377854
131.628085,21.384799,False,807389
192.387085,45.107353,False,1103351
179.791804,-0.60449,False,660778
37.85753704523516,-48.54148618965576,True,321939
140.969764,-1.999075,True,421839
164.775222,31.194019,True,463622
83.88041252940924,80.21946343574939,True,289195
57.303837,-0.262394,False,1051823
141.87891499999995,18.531887,False,423185
193.066891,23.564559,True,503359
167.752629,-1.125025,False,467891
220.739396,32.270982000000004,True,262852
135.60349671474435,11.375422846098235,True,42892
218.756653,34.564602,False,1189330
55.05877099999999,0.69398,True,31304
168.090881,-12.258648,False,1094900
29.941261,9.000674,False,702981
138.682255,26.998514,True,45047
14.161960999999998,0.2278869999999999,False,640891
304.69243562612,11.359354946028,True,377043
219.128403,34.866627,False,1190865
215.545793,55.056366,False,669526
193.173355,42.348713,False,1103812
200.254593,-1.059356,False,1107670
145.48848999999996,17.051448,True,734417
155.837062,42.014319,True,445225
250.585358,17.13944,False,1128697
197.38826,-21.650511,False,1176243
35.472361315149065,10.329080361299336,True,229949
160.065026,15.91337,True,455654
200.430578,2.284419,False,666472
203.22406428089644,-1.4472547237608488,True,208413
310.1952145345004,-15.674102453733726,True,205378
154.803558,31.274691,False,1088177
4.519218467320799,-14.91535238865658,True,203262
214.010134270457,11.707486726255212,True,370630
24.264029,53.235298,False,1153741
251.340142,44.498685,False,613820
325.024597,-1.601872,False,1217395
75.84528084911615,-48.3240070971445,True,326687
203.757324,9.242514,True,244090
215.193863,11.507256,False,1177623
286.4874957351538,59.31701907663137,True,291794
252.010284,-8.623263,False,1199164
125.476059,25.839702,False,404462
170.474166,6.140962,False,658245
214.341749306398,52.4627966532787,True,795001
198.0703031,-1.5285371,False,1055086
249.258935,31.264819,False,610412
163.400602,4.225062,True,73490
138.204058,7.045659,False,648648
332.00996804997664,45.93395012263967,True,378453
28.011976,33.469673,False,1068828
0.228514,-11.184422,True,386159
354.0247332584442,-31.05601238296521,True,197924
26.206928,33.657337,False,1154531
130.664871,-1.296502,False,1170826
